Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,40.7,0.6,-3.4,0.0,0.0,-0.1
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,44.0,2.5,-3.4,0.0,0.0,-0.1
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,91.4,4.9,-50.8,0.0,0.0,0.0
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,91.4,4.9,-50.8,0.0,0.0,0.0
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,38.1,-38.9,-53.5,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,47.2,-26.1,-53.5,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,-93.7,13.8,91.8,0.0,0.0,-0.1
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,-93.7,13.8,91.8,0.0,0.0,-0.1
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,116.3,33.1,-31.4,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,89.0,19.3,-29.7,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,88.3,4.9,-57.4,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,88.3,4.9,-57.4,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,26.2,-46.2,-60.5,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,36.9,-31.3,-60.5,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,-127.6,15.2,109.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-127.6,15.2,109.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,117.4,37.7,-34.7,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,85.5,21.7,-32.8,0.0,0.0,0.0
SUP K/2,90.0000,SC K/2 (UB 406x140x39),90.0000,1 Cb1-1.4D+1.6I+1.6RI,45.1,0.0,0.0,0.0,0.0,0.0
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,45.1,0.0,0.0,0.0,0.0,0.0
,,,,3 Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,45.1,0.0,0.0,0.0,0.0,0.0
,,,,4 Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,46.8,0.0,0.0,0.0,0.0,0.0
,,,,5 Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,43.3,0.0,0.0,0.0,0.0,0.0
,,,,6 Cb2.1-1.4D+0I+1.05S,47.1,0.0,0.0,0.0,0.0,0.0
,,,,7 Cb2.2-1.4D+0I+1.05S+NHFDir1+,47.1,0.0,0.0,0.0,0.0,0.0
,,,,8 Cb2.3-1.4D+0I+1.05S+NHFDir1-,47.1,0.0,0.0,0.0,0.0,0.0
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,48.9,0.0,0.0,0.0,0.0,0.0
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,45.2,0.0,0.0,0.0,0.0,0.0
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,29.3,9.2,0.0,0.0,0.0,0.0
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,29.3,9.2,0.0,0.0,0.0,0.0
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,100.0,24.9,-0.2,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,53.6,24.9,-0.1,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,13.1,-31.9,0.0,0.0,0.0,0.0
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,13.1,-31.9,0.0,0.0,0.0,0.0
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,-26.9,9.7,0.2,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,0.4,9.7,0.1,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,10.5,10.8,0.0,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,10.5,10.8,0.0,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,92.9,29.0,-0.2,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,38.8,29.0,-0.1,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,-8.4,-37.2,0.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-8.4,-37.2,0.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,-55.1,11.3,0.2,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,-23.2,11.3,0.1,0.0,0.0,0.0
SUP K/3,90.0000,SC K/3 (UB 406x140x46),90.0000,1 Cb1-1.4D+1.6I+1.6RI,50.3,0.0,0.0,0.0,0.0,0.0
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,50.5,0.0,0.0,0.0,0.0,0.0
,,,,3 Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,50.2,0.0,0.0,0.0,0.0,0.0
,,,,4 Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,50.0,0.0,0.0,0.0,0.0,0.0
,,,,5 Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,50.6,0.0,0.0,0.0,0.0,0.0
,,,,6 Cb2.1-1.4D+0I+1.05S,52.5,0.0,0.0,0.0,0.0,0.0
,,,,7 Cb2.2-1.4D+0I+1.05S+NHFDir1+,52.7,0.0,0.0,0.0,0.0,0.0
,,,,8 Cb2.3-1.4D+0I+1.05S+NHFDir1-,52.4,0.0,0.0,0.0,0.0,0.0
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,52.2,0.0,0.0,0.0,0.0,0.0
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,52.9,0.0,0.0,0.0,0.0,0.0
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,43.9,11.3,0.0,0.0,0.0,0.0
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,43.9,11.3,0.0,0.0,0.0,0.0
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,49.8,25.0,-0.1,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,40.3,25.0,-0.1,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,-2.5,-38.9,0.0,0.0,0.0,0.0
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,-2.5,-38.9,0.0,0.0,0.0,0.0
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,57.8,21.7,0.2,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,51.0,21.7,0.1,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,25.0,13.2,0.0,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,25.0,13.2,0.0,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,31.9,29.2,-0.2,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,20.9,29.2,-0.1,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,-29.1,-45.4,0.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-29.1,-45.4,0.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,41.3,25.4,0.2,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,33.3,25.3,0.1,0.0,0.0,0.0
SUP K/4,90.0000,SC K/4 (UB 406x140x46),90.0000,1 Cb1-1.4D+1.6I+1.6RI,50.3,0.0,0.0,0.0,0.0,0.0
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,50.5,0.0,0.0,0.0,0.0,0.0
,,,,3 Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,50.2,0.0,0.0,0.0,0.0,0.0
,,,,4 Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,50.6,0.0,0.0,0.0,0.0,0.0
,,,,5 Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,50.0,0.0,0.0,0.0,0.0,0.0
,,,,6 Cb2.1-1.4D+0I+1.05S,52.5,0.0,0.0,0.0,0.0,0.0
,,,,7 Cb2.2-1.4D+0I+1.05S+NHFDir1+,52.7,0.0,0.0,0.0,0.0,0.0
,,,,8 Cb2.3-1.4D+0I+1.05S+NHFDir1-,52.4,0.0,0.0,0.0,0.0,0.0
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,52.9,0.0,0.0,0.0,0.0,0.0
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,52.2,0.0,0.0,0.0,0.0,0.0
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,43.9,11.3,0.0,0.0,0.0,0.0
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,43.9,11.3,0.0,0.0,0.0,0.0
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,57.8,21.7,-0.2,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,51.0,21.7,-0.1,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,-2.5,-38.9,0.0,0.0,0.0,0.0
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,-2.5,-38.9,0.0,0.0,0.0,0.0
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,49.8,25.0,0.1,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,40.3,25.0,0.1,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,25.0,13.2,0.0,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,25.0,13.2,0.0,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,41.3,25.4,-0.2,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,33.3,25.3,-0.1,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,-29.1,-45.4,0.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-29.1,-45.4,0.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,31.9,29.2,0.2,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,20.9,29.2,0.1,0.0,0.0,0.0
SUP K/5,90.0000,SC K/5 (UB 406x140x39),90.0000,1 Cb1-1.4D+1.6I+1.6RI,45.1,0.0,0.0,0.0,0.0,0.0
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,45.1,0.0,0.0,0.0,0.0,0.0
,,,,3 Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,45.1,0.0,0.0,0.0,0.0,0.0
,,,,4 Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,43.3,0.0,0.0,0.0,0.0,0.0
,,,,5 Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,46.8,0.0,0.0,0.0,0.0,0.0
,,,,6 Cb2.1-1.4D+0I+1.05S,47.1,0.0,0.0,0.0,0.0,0.0
,,,,7 Cb2.2-1.4D+0I+1.05S+NHFDir1+,47.1,0.0,0.0,0.0,0.0,0.0
,,,,8 Cb2.3-1.4D+0I+1.05S+NHFDir1-,47.1,0.0,0.0,0.0,0.0,0.0
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,45.2,0.0,0.0,0.0,0.0,0.0
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,48.9,0.0,0.0,0.0,0.0,0.0
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,29.3,9.2,0.0,0.0,0.0,0.0
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,29.3,9.2,0.0,0.0,0.0,0.0
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,-26.9,9.7,-0.2,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,0.4,9.7,-0.1,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,13.1,-31.9,0.0,0.0,0.0,0.0
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,13.1,-31.9,0.0,0.0,0.0,0.0
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,100.0,24.9,0.2,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,53.6,24.9,0.1,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,10.5,10.8,0.0,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,10.5,10.8,0.0,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,-55.1,11.3,-0.2,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,-23.2,11.3,-0.1,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,-8.4,-37.2,0.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-8.4,-37.2,0.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,92.9,29.0,0.2,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,38.8,29.0,0.1,0.0,0.0,0.0
SUP K/6,180.0000,Span 1 Rh Column (UB 610x229x125),90.0000,1 Cb1-1.4D+1.6I+1.6RI,41.1,1.5,3.2,0.0,0.0,0.1
,,,,2 Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,47.7,1.5,8.0,0.0,0.0,0.1
,,,,3 Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,34.6,1.5,-1.6,0.0,0.0,0.1
,,,,4 Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,42.7,2.3,3.2,0.0,0.0,0.1
,,,,5 Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,39.5,0.6,3.2,0.0,0.0,0.1
,,,,6 Cb2.1-1.4D+0I+1.05S,42.4,1.5,3.4,0.0,0.0,0.1
,,,,7 Cb2.2-1.4D+0I+1.05S+NHFDir1+,49.3,1.5,8.5,0.0,0.0,0.1
,,,,8 Cb2.3-1.4D+0I+1.05S+NHFDir1-,35.4,1.6,-1.7,0.0,0.0,0.1
,,,,9 Cb2.4-1.4D+0I+1.05S+NHFDir2+,44.0,2.5,3.4,0.0,0.0,0.1
,,,,10 Cb2.5-1.4D+0I+1.05S+NHFDir2-,40.7,0.6,3.4,0.0,0.0,0.1
,,,,11 Cb3.1-1.2D+1.2I+1.2RI+1.2W,91.4,4.9,50.8,0.0,0.0,0.0
,,,,12 Cb3.2-1.2D+1.2I+1.2RI+1.2W,91.4,4.9,50.8,0.0,0.0,0.0
,,,,15 Cb3.5-1.2D+1.2I+1.2RI+1.2W,116.3,33.1,31.4,0.0,0.0,0.0
,,,,16 Cb3.6-1.2D+1.2I+1.2RI+1.2W,89.0,19.3,29.7,0.0,0.0,0.0
,,,,19 Cb3.9-1.2D+1.2I+1.2RI+1.2W,-93.7,13.8,-91.8,0.0,0.0,0.1
,,,,20 Cb3.10-1.2D+1.2I+1.2RI+1.2W,-93.7,13.8,-91.8,0.0,0.0,0.1
,,,,23 Cb3.13-1.2D+1.2I+1.2RI+1.2W,38.1,-38.9,53.5,0.0,0.0,0.0
,,,,24 Cb3.14-1.2D+1.2I+1.2RI+1.2W,47.2,-26.1,53.5,0.0,0.0,0.0
,,,,27 Cb5.1-D+1.4W,88.3,4.9,57.4,0.0,0.0,0.0
,,,,28 Cb5.2-D+1.4W,88.3,4.9,57.4,0.0,0.0,0.0
,,,,31 Cb5.5-D+1.4W,117.4,37.7,34.7,0.0,0.0,0.0
,,,,32 Cb5.6-D+1.4W,85.5,21.7,32.8,0.0,0.0,0.0
,,,,35 Cb5.9-D+1.4W,-127.6,15.2,-109.0,0.0,0.0,0.0
,,,,36 Cb5.10-D+1.4W,-127.6,15.2,-109.0,0.0,0.0,0.0
,,,,39 Cb5.13-D+1.4W,26.2,-46.2,60.5,0.0,0.0,0.0
,,,,40 Cb5.14-D+1.4W,36.9,-31.3,60.5,0.0,0.0,0.0
,,,,,,,,,,
,,,,,,,,,,
Wall Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
Core Supports,,,,,,,,,,
No results available.,,,,,,,,,,
,,,,,,,,,,
